id_lead,data_primeiro_contato,origem,roteiro_interesse,modalidade,n_pessoas,mes_viagem_desejado,orcamento_aprox,status,data_fechamento,dias_ate_fechar,valor_venda
000001,2024-09-03,Instagram,Caminho Português,Autoguiado,4,Março,R$ 32.329,Sem resposta,,,
000002,2025-03-27,YouTube,Via Francigena,Premium,3,Outubro,R$ 26.746,Negociando,,,
000003,2023-09-24,WhatsApp,Caminho Francês,Autoguiado,2,Março,R$ 21.759,Negociando,,,
000004,2025-12-17,Indicação,Caminho Português,Premium,3,Janeiro,R$ 19.836,Sem resposta,,,
000005,2022-03-24,Facebook,Caminho do Norte,Autoguiado,5,Março,R$ 43.147,Negociando,,,
000006,2025-07-29,Google,Caminho Português,Guiado,2,Julho,R$ 15.469,Negociando,,,
000007,2023-09-21,Instagram,Via Francigena,Premium,1,Maio,R$ 8.897,Fechado,2023-09-26,5,R$ 8.736
000008,2025-05-10,TikTok,Caminho Português,Premium,2,Abril,R$ 18.704,Negociando,,,
000009,2024-04-11,TikTok,Caminho Primitivo,Autoguiado,2,Julho,R$ 19.608,Perdido,,,
000010,2021-09-17,Facebook,Caminho Francês,Guiado,5,Abril,R$ 62.705,Sem resposta,,,
000011,2020-01-09,Instagram,Caminho Primitivo,Autoguiado,5,Setembro,R$ 36.429,Sem resposta,,,
000012,2026-04-13,Facebook,Caminho Português,Guiado,2,Fevereiro,R$ 17.826,Sem resposta,,,
000013,2021-12-04,WhatsApp,Via Francigena,Guiado,2,Julho,R$ 21.708,Fechado,2021-12-24,20,R$ 23.132
000014,2021-02-21,WhatsApp,Caminho Francês,Autoguiado,3,Agosto,R$ 27.873,Perdido,,,
000015,2026-06-06,Facebook,Caminho Francês,Guiado,2,Dezembro,R$ 21.652,Negociando,,,
000016,2022-03-07,TikTok,Caminho Francês,Premium,3,Outubro,R$ 29.667,Sem resposta,,,
000017,2025-06-10,YouTube,Caminho Português,Autoguiado,3,Setembro,R$ 20.743,Sem resposta,,,
000018,2023-06-01,WhatsApp,Via Francigena,Premium,3,Setembro,R$ 31.880,Fechado,2023-06-24,23,R$ 30.740
000019,2023-09-27,YouTube,Caminho do Norte,Autoguiado,2,Dezembro,R$ 15.253,Sem resposta,,,
000020,2020-03-11,Google,Via Francigena,Autoguiado,4,Janeiro,R$ 36.037,Negociando,,,
000021,2023-04-13,Google,Via Francigena,Autoguiado,3,Dezembro,R$ 20.594,Negociando,,,
000022,2026-07-23,WhatsApp,Caminho Francês,Autoguiado,2,Setembro,R$ 21.693,Perdido,,,
000023,2022-09-06,Indicação,Caminho Francês,Guiado,2,Agosto,R$ 19.030,Negociando,,,
000024,2021-03-23,Instagram,Via Francigena,Autoguiado,1,Julho,R$ 10.206,Fechado,2021-04-13,21,R$ 10.900
000025,2022-11-18,Facebook,Caminho do Norte,Premium,2,Setembro,R$ 22.434,Negociando,,,
000026,2020-06-11,Google,Caminho do Norte,Autoguiado,2,Maio,R$ 16.739,Sem resposta,,,
000027,2025-06-18,WhatsApp,Caminho Português,Autoguiado,3,Dezembro,R$ 21.428,Sem resposta,,,
000028,2025-01-18,Facebook,Caminho Francês,Premium,1,Dezembro,R$ 12.456,Negociando,,,
000029,2026-02-01,Google,Caminho Francês,Premium,1,Agosto,R$ 8.205,Negociando,,,
000030,2021-09-07,Facebook,Caminho Francês,Autoguiado,2,Novembro,R$ 21.142,Perdido,,,
000031,2023-12-07,WhatsApp,Caminho Português,Premium,4,Novembro,R$ 36.000,Fechado,2024-01-11,35,R$ 36.199
000032,2023-09-28,TikTok,Via Francigena,Guiado,3,Agosto,R$ 25.829,Sem resposta,,,
000033,2021-12-03,WhatsApp,Via Francigena,Guiado,2,Novembro,R$ 22.109,Sem resposta,,,
000034,2024-04-13,Google,Caminho Português,Premium,2,Fevereiro,R$ 15.624,Negociando,,,
000035,2021-10-21,Google,Caminho Francês,Autoguiado,3,Fevereiro,R$ 27.046,Negociando,,,
000036,2025-12-07,TikTok,Caminho Primitivo,Guiado,1,Setembro,R$ 7.486,Negociando,,,
000037,2024-01-12,Indicação,Caminho do Norte,Guiado,2,Dezembro,R$ 14.457,Negociando,,,
000038,2023-05-22,YouTube,Caminho do Norte,Guiado,1,Setembro,R$ 7.869,Perdido,,,
000039,2023-07-09,Google,Caminho Português,Guiado,2,Outubro,R$ 16.691,Sem resposta,,,
000040,2026-06-01,Google,Caminho Português,Autoguiado,2,Fevereiro,R$ 10.502,Negociando,,,
000041,2023-08-24,Facebook,Caminho Português,Guiado,1,Novembro,R$ 9.017,Fechado,2023-09-18,25,R$ 9.015
000042,2026-01-03,WhatsApp,Caminho Francês,Autoguiado,3,Agosto,R$ 24.787,Perdido,,,
000043,2023-09-21,Indicação,Caminho Primitivo,Premium,4,Agosto,R$ 36.517,Negociando,,,
000044,2021-01-10,YouTube,Caminho Português,Premium,3,Março,R$ 20.484,Perdido,,,
000045,2024-02-27,WhatsApp,Caminho Francês,Premium,2,Novembro,R$ 19.154,Negociando,,,
000046,2023-01-05,YouTube,Caminho Francês,Guiado,2,Setembro,R$ 25.103,Sem resposta,,,
000047,2024-05-17,YouTube,Caminho Francês,Guiado,2,Setembro,R$ 18.447,Negociando,,,
000048,2023-10-11,Google,Via Francigena,Autoguiado,3,Julho,R$ 25.072,Fechado,2023-11-12,32,R$ 27.439
000049,2021-04-11,Instagram,Caminho Português,Guiado,2,Janeiro,R$ 13.788,Fechado,2021-05-10,29,R$ 13.184
000050,2020-06-27,Google,Via Francigena,Premium,2,Março,R$ 17.757,Fechado,2020-07-31,34,R$ 18.547
000051,2024-04-22,Indicação,Via Francigena,Guiado,3,Janeiro,R$ 24.914,Negociando,,,
000052,2024-12-08,Google,Caminho Francês,Autoguiado,1,Fevereiro,R$ 10.121,Fechado,2025-01-02,25,R$ 10.683
000053,2022-04-30,WhatsApp,Via Francigena,Premium,1,Maio,R$ 8.482,Sem resposta,,,
000054,2026-03-13,TikTok,Caminho Primitivo,Autoguiado,2,Março,R$ 13.676,Sem resposta,,,
000055,2021-11-02,Google,Caminho do Norte,Premium,3,Julho,R$ 21.658,Negociando,,,
000056,2026-01-17,TikTok,Caminho Português,Guiado,2,Outubro,R$ 12.426,Negociando,,,
000057,2026-11-24,Instagram,Caminho do Norte,Autoguiado,1,Abril,R$ 6.571,Fechado,2026-11-28,4,R$ 7.314
000058,2023-09-08,Facebook,Caminho do Norte,Premium,2,Março,R$ 20.654,Negociando,,,
000059,2026-01-01,Google,Caminho Francês,Guiado,1,Outubro,R$ 8.661,Negociando,,,
000060,2026-09-01,TikTok,Caminho Português,Premium,1,Junho,R$ 6.289,Fechado,2026-09-12,11,R$ 5.847
000061,2022-09-30,YouTube,Caminho Primitivo,Guiado,2,Maio,R$ 23.241,Perdido,,,
000062,2025-12-26,Instagram,Caminho Primitivo,Premium,1,Outubro,R$ 11.233,Negociando,,,
000063,2020-05-30,TikTok,Via Francigena,Premium,2,Dezembro,R$ 15.925,Negociando,,,
000064,2023-07-04,Indicação,Caminho do Norte,Guiado,4,Maio,R$ 30.384,Negociando,,,
000065,2020-04-29,TikTok,Caminho Português,Premium,1,Agosto,R$ 7.914,Negociando,,,
000066,2026-11-19,TikTok,Caminho Português,Guiado,3,Junho,R$ 26.298,Fechado,2026-12-11,22,R$ 29.274
000067,2025-07-26,Google,Via Francigena,Premium,4,Novembro,R$ 39.723,Perdido,,,
000068,2026-05-26,Instagram,Via Francigena,Premium,2,Dezembro,R$ 22.134,Fechado,2026-06-22,27,R$ 20.611
000069,2020-08-30,WhatsApp,Caminho Português,Premium,3,Dezembro,R$ 28.587,Sem resposta,,,
000070,2025-02-12,TikTok,Caminho Primitivo,Premium,2,Abril,R$ 22.021,Perdido,,,
000071,2023-02-18,Google,Caminho Francês,Guiado,2,Março,R$ 25.339,Fechado,2023-03-23,33,R$ 26.665
000072,2020-02-23,Instagram,Caminho do Norte,Autoguiado,2,Setembro,R$ 17.663,Negociando,,,
000073,2025-08-26,TikTok,Caminho Português,Premium,1,Setembro,R$ 8.439,Sem resposta,,,
000074,2026-12-24,WhatsApp,Caminho Português,Premium,4,Fevereiro,R$ 29.920,Fechado,2026-12-31,7,R$ 27.946
000075,2022-09-20,Facebook,Caminho Francês,Autoguiado,1,Maio,R$ 7.278,Sem resposta,,,
000076,2024-07-02,YouTube,Caminho Português,Autoguiado,4,Maio,R$ 28.041,Perdido,,,
000077,2025-12-03,Instagram,Caminho Primitivo,Premium,4,Abril,R$ 36.747,Sem resposta,,,
000078,2021-06-18,Facebook,Caminho do Norte,Autoguiado,2,Maio,R$ 12.729,Fechado,2021-07-20,32,R$ 13.462
000079,2025-10-23,Instagram,Caminho Português,Premium,2,Agosto,R$ 19.218,Perdido,,,
000080,2026-08-04,Indicação,Via Francigena,Premium,5,Fevereiro,R$ 58.703,Perdido,,,
000081,2024-08-27,Facebook,Via Francigena,Premium,1,Dezembro,R$ 10.733,Sem resposta,,,
000082,2024-02-04,YouTube,Caminho Português,Guiado,5,Julho,R$ 35.019,Fechado,2024-02-07,3,R$ 35.088
000083,2025-03-04,Indicação,Via Francigena,Autoguiado,4,Abril,R$ 40.342,Fechado,2025-04-05,32,R$ 42.339
000084,2020-04-03,Instagram,Caminho do Norte,Autoguiado,2,Maio,R$ 16.417,Negociando,,,
000085,2022-12-16,Google,Caminho Português,Guiado,1,Junho,R$ 7.126,Fechado,2022-12-31,15,R$ 7.314
000086,2022-07-04,Instagram,Caminho Francês,Autoguiado,5,Agosto,R$ 40.076,Perdido,,,
000087,2024-02-08,YouTube,Caminho Francês,Guiado,1,Setembro,R$ 11.106,Fechado,2024-02-16,8,R$ 10.998
000088,2025-08-20,WhatsApp,Caminho do Norte,Autoguiado,2,Junho,R$ 16.662,Negociando,,,
000089,2021-03-15,TikTok,Via Francigena,Autoguiado,1,Dezembro,R$ 7.646,Negociando,,,
000090,2023-03-15,Google,Caminho Francês,Premium,2,Novembro,R$ 23.810,Fechado,2023-03-27,12,R$ 23.990
000091,2021-06-11,TikTok,Via Francigena,Guiado,4,Março,R$ 48.630,Negociando,,,
000092,2022-05-19,Indicação,Caminho Português,Premium,3,Dezembro,R$ 20.922,Fechado,2022-06-12,24,R$ 22.241
000093,2021-11-28,Google,Caminho do Norte,Guiado,2,Julho,R$ 19.339,Fechado,2021-12-02,4,R$ 18.136
000094,2025-01-07,Google,Caminho Francês,Guiado,3,Março,R$ 30.536,Sem resposta,,,
000095,2026-08-01,Indicação,Caminho do Norte,Premium,5,Maio,R$ 38.495,Fechado,2026-09-04,34,R$ 39.545
000096,2024-01-02,YouTube,Via Francigena,Autoguiado,2,Março,R$ 19.906,Negociando,,,
000097,2024-03-29,WhatsApp,Caminho do Norte,Premium,2,Abril,R$ 19.455,Perdido,,,
000098,2024-02-07,Google,Via Francigena,Premium,2,Abril,R$ 20.767,Sem resposta,,,
000099,2026-09-30,Google,Via Francigena,Premium,2,Outubro,R$ 18.806,Fechado,2026-10-08,8,R$ 20.312
000100,2024-07-13,Google,Via Francigena,Premium,3,Outubro,R$ 25.184,Fechado,2024-07-15,2,R$ 23.879
000101,2022-03-22,Instagram,Via Francigena,Guiado,3,Abril,R$ 34.599,Fechado,2022-03-24,2,R$ 32.355
000102,2022-01-31,TikTok,Caminho Primitivo,Premium,3,Agosto,R$ 24.245,Perdido,,,
000103,2020-06-03,Instagram,Via Francigena,Autoguiado,2,Janeiro,R$ 20.587,Fechado,2020-06-11,8,R$ 18.965
000104,2024-08-09,WhatsApp,Via Francigena,Autoguiado,1,Agosto,R$ 10.279,Fechado,2024-09-03,25,R$ 9.954
000105,2021-12-07,TikTok,Caminho Português,Guiado,1,Janeiro,R$ 9.518,Negociando,,,
000106,2023-07-27,Google,Caminho Francês,Premium,3,Maio,R$ 34.253,Negociando,,,
000107,2022-04-09,Google,Caminho Primitivo,Guiado,3,Abril,R$ 27.511,Negociando,,,
000108,2025-05-10,TikTok,Caminho Primitivo,Premium,2,Janeiro,R$ 16.036,Negociando,,,
000109,2023-03-14,WhatsApp,Caminho Francês,Premium,2,Maio,R$ 18.910,Negociando,,,
000110,2025-08-26,Google,Caminho do Norte,Guiado,2,Outubro,R$ 16.472,Negociando,,,
000111,2025-05-13,Instagram,Caminho do Norte,Autoguiado,4,Outubro,R$ 27.403,Perdido,,,
000112,2026-10-26,Google,Caminho Primitivo,Premium,2,Dezembro,R$ 16.718,Fechado,2026-11-18,23,R$ 18.239
000113,2026-11-16,YouTube,Caminho Primitivo,Guiado,1,Setembro,R$ 8.162,Sem resposta,,,
000114,2026-05-23,WhatsApp,Caminho Português,Guiado,1,Novembro,R$ 6.680,Perdido,,,
000115,2026-10-27,Indicação,Caminho Primitivo,Autoguiado,2,Outubro,R$ 18.843,Negociando,,,
000116,2025-07-31,WhatsApp,Caminho Primitivo,Autoguiado,1,Junho,R$ 6.427,Fechado,2025-08-29,29,R$ 6.498
000117,2023-05-08,Facebook,Caminho do Norte,Autoguiado,5,Março,R$ 33.093,Sem resposta,,,
000118,2024-07-21,Google,Caminho Francês,Premium,2,Dezembro,R$ 23.512,Negociando,,,
000119,2024-08-31,Google,Caminho Primitivo,Guiado,4,Junho,R$ 43.687,Fechado,2024-09-09,9,R$ 44.104
000120,2020-01-24,YouTube,Caminho Primitivo,Premium,3,Dezembro,R$ 31.551,Perdido,,,
