id_reserva,data_reserva,id_cliente,roteiro,modalidade,n_pessoas,mes_viagem,valor_total_R$,custo_operacional_R$,canal_origem,status
RES000001,2022-08-04,CLI008544,Caminho Primitivo,Autoguiado,4,Agosto,46769,27592,WhatsApp,Concluída
RES000002,2021-09-18,CLI015932,Caminho do Norte,Premium,4,Setembro,62595,45282,WhatsApp,Cancelada
RES000003,2022-08-01,CLI023473,Caminho do Norte,Premium,3,Agosto,44761,34282,YouTube,Concluída
RES000004,2020-09-08,CLI008053,Caminho Português,Premium,1,Setembro,13292,7896,Google,Concluída
RES000005,2020-04-06,CLI006063,Caminho do Norte,Premium,1,Abril,17843,13074,YouTube,Concluída
RES000006,2026-10-31,CLI019962,Via Francigena,Guiado,2,Outubro,25461,15173,Facebook,Concluída
RES000007,2026-01-29,CLI016327,Via Francigena,Premium,5,Janeiro,78306,59866,YouTube,Concluída
RES000008,2020-12-27,CLI027382,Caminho Português,Autoguiado,1,Dezembro,13563,9838,TikTok,Concluída
RES000009,2023-07-01,CLI001148,Caminho do Norte,Autoguiado,1,Julho,14731,9894,Instagram,Concluída
RES000010,2021-01-15,CLI025564,Caminho Português,Premium,4,Janeiro,50393,37402,Indicação,Cancelada
RES000011,2024-08-17,CLI014192,Caminho Português,Autoguiado,3,Agosto,28049,19419,Google,Concluída
RES000012,2026-05-01,CLI021560,Caminho Francês,Guiado,5,Maio,77963,59933,Facebook,Concluída
RES000013,2025-09-12,CLI028596,Caminho Português,Guiado,2,Setembro,23320,18161,YouTube,Concluída
RES000014,2025-03-02,CLI029703,Caminho Português,Autoguiado,2,Março,16629,11397,YouTube,Concluída
RES000015,2025-12-04,CLI014210,Via Francigena,Guiado,3,Dezembro,54776,32865,Google,Concluída
RES000016,2021-03-08,CLI027553,Caminho Francês,Guiado,1,Março,15151,9582,YouTube,Concluída
RES000017,2025-12-05,CLI016085,Via Francigena,Autoguiado,2,Dezembro,23474,16065,YouTube,Concluída
RES000018,2023-05-03,CLI011098,Via Francigena,Autoguiado,3,Maio,32524,21008,TikTok,Concluída
