id_cliente,Caminho Francês,Caminho Português,Caminho Primitivo,Caminho do Norte,Via Francigena
CLI000001,8.0,8.0,0.0,0.0,0.0
CLI000002,10.0,0.0,8.0,8.0,9.0
CLI000003,8.0,10.0,7.0,0.0,0.0
CLI000004,7.0,0.0,0.0,8.0,0.0
CLI000005,8.0,8.0,0.0,10.0,0.0
CLI000007,8.0,0.0,0.0,0.0,0.0
CLI000009,0.0,0.0,0.0,0.0,8.0
CLI000010,7.0,0.0,0.0,0.0,9.0
CLI000012,9.0,0.0,7.0,0.0,0.0
CLI000013,8.0,0.0,8.0,0.0,8.0
CLI000014,8.5,0.0,0.0,0.0,0.0
CLI000015,7.0,0.0,0.0,0.0,0.0
CLI000016,8.5,0.0,8.0,8.0,8.0
CLI000017,7.5,0.0,9.0,8.0,0.0
CLI000018,7.0,0.0,8.0,0.0,8.5
CLI000020,0.0,9.0,0.0,9.0,0.0
CLI000021,0.0,0.0,8.0,0.0,9.0
CLI000022,0.0,10.0,0.0,0.0,0.0
CLI000024,10.0,0.0,9.0,9.0,0.0
CLI000025,0.0,0.0,0.0,7.5,0.0
CLI000026,0.0,8.0,0.0,8.0,9.0
CLI000027,8.0,8.0,0.0,0.0,8.0
CLI000028,8.0,8.0,9.0,0.0,8.0
CLI000029,8.0,0.0,0.0,0.0,0.0
CLI000030,7.0,0.0,0.0,0.0,0.0
CLI000031,0.0,0.0,8.0,0.0,0.0
CLI000032,8.0,8.0,0.0,0.0,0.0
CLI000033,7.0,0.0,7.0,0.0,10.0
CLI000034,7.0,0.0,9.0,0.0,8.0
CLI000035,0.0,6.5,9.5,0.0,0.0
CLI000036,9.0,7.5,8.0,9.0,8.0
CLI000037,7.0,8.0,0.0,0.0,0.0
CLI000038,0.0,7.0,8.0,0.0,10.0
CLI000039,8.0,0.0,0.0,8.0,7.0
CLI000040,0.0,0.0,8.0,7.0,0.0
CLI000041,8.0,0.0,0.0,0.0,0.0
CLI000042,9.0,0.0,0.0,7.0,0.0
CLI000043,0.0,9.0,0.0,0.0,0.0
CLI000044,7.5,0.0,0.0,0.0,7.0
CLI000045,0.0,0.0,0.0,0.0,7.5
CLI000046,0.0,0.0,7.5,0.0,0.0
CLI000047,10.0,9.0,8.0,9.0,8.0
CLI000048,7.0,0.0,0.0,8.0,0.0
CLI000050,9.0,8.0,7.0,9.0,0.0
CLI000051,7.0,9.0,6.666666666666667,8.0,0.0
CLI000052,0.0,0.0,9.0,0.0,8.0
CLI000054,7.0,0.0,0.0,0.0,0.0
CLI000056,8.0,0.0,9.0,8.0,8.0
CLI000057,8.0,0.0,0.0,0.0,8.0
CLI000058,0.0,0.0,0.0,0.0,9.0
CLI000059,8.0,0.0,0.0,9.0,0.0
CLI000060,8.0,8.5,9.0,8.0,8.0
CLI000061,7.0,9.0,10.0,0.0,9.0
CLI000062,0.0,0.0,9.0,0.0,0.0
CLI000063,0.0,0.0,9.0,0.0,0.0
CLI000064,0.0,7.0,0.0,0.0,9.0
